CompetenciaID,CarreraID,NombreHabilidad,NivelRequerido
1,1,Python y Java,Básico
2,1,SQL y bases de datos relacionales,Intermedio
3,1,Arquitectura de Software,Avanzado
4,1,Gestión de proyectos (Jira/Scrum),Intermedio
5,1,Administración de servidores Linux,Intermedio
6,2,Control de versiones (Git),Básico
7,2,Desarrollo web fullstack (React/Node),Avanzado
8,2,Testing y QA Automatizado,Intermedio
9,2,DevOps y CI/CD,Avanzado
10,2,"Patrones de Diseño (C#, Java)",Intermedio
11,3,Estadística descriptiva e inferencial,Básico
12,3,"Python (pandas, numpy, scikit-learn)",Intermedio
13,3,Machine Learning aplicado,Avanzado
14,3,"Visualización de datos (Power BI, Tableau)",Intermedio
15,3,"Big Data (Spark, Hadoop)",Avanzado
16,4,"Fundamentos de Redes (OSI, TCP/IP)",Básico
17,4,Configuración de Routers (Cisco),Intermedio
18,4,Administración de redes LAN/WAN,Intermedio
19,4,Fibra Óptica y Radioenlaces,Avanzado
20,4,Seguridad en Redes Perimetrales,Avanzado
21,5,Seguridad informática básica,Básico
22,5,Criptografía y Protocolos Seguros,Intermedio
23,5,Ciberseguridad y Ethical Hacking,Avanzado
24,5,Análisis de Vulnerabilidades y Pentesting,Avanzado
25,5,Arquitectura de seguridad en la nube,Avanzado
